title,price,area,rooms,url,city,address,district
"3 pokoje z balkonem, Opole ZWM",530000,60.09,3,https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-opole-zwm-ID4vXOy,Opole,no address,Stare Miasto
"Ustawna, słoneczna kawalerka",275000,29.51,1,https://www.otodom.pl/pl/oferta/ustawna-sloneczna-kawalerka-ID4vJJA,Opole,ul. Wojska Polskiego ,Zaodrze
"BEZCZYNSZOWE, 2 OSTATNIE SEGMENTY 114m2",705000,114,5,https://www.otodom.pl/pl/oferta/bezczynszowe-2-ostatnie-segmenty-114m2-ID4vnRI,Opole,no address,Stare Miasto
Sprzedam mieszkanie 3 pokojowe 61m2 AK (ZWM) Opole,530000,61,3,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokojowe-61m2-ak-zwm-opole-ID4vdxp,Opole,"ul. Batalionu ""Parasol"" ",Armii Krajowej
3 pokoje - na Zaodrzu /balkon/,480000,57.4,3,https://www.otodom.pl/pl/oferta/3-pokoje-na-zaodrzu-balkon-ID4vXmv,Opole,ul. Prószkowska ,Zaodrze
kawalerka z widokiem na Rynek Opola,289000,32,2,https://www.otodom.pl/pl/oferta/kawalerka-z-widokiem-na-rynek-opola-ID4vXmt,Opole,ul. Wrocławska ,Nadodrze
3 pokoje/ 1 piętro / os. Malinka/,480000,64,3,https://www.otodom.pl/pl/oferta/3-pokoje-1-pietro-os-malinka-ID4vXmp,Opole,ul. Rzeszowska ,Malinka
3-Pokojowe Mieszkanie W Spokojnej Dzielnicy Malink,572000,64.95,3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-w-spokojnej-dzielnicy-malink-ID4uWH6,Opole,ul. Kielecka ,Malinka
3-pokojowe mieszkanie | Czarnowąsy,605000,56.01,3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-czarnowasy-ID4wNQY,Opole,Władysława Podkowińskiego ,Czarnowąsy
Poddaszowe mieszkanie z kominkiem | Inwestycja,660000,114,5,https://www.otodom.pl/pl/oferta/poddaszowe-mieszkanie-z-kominkiem-inwestycja-ID4rcT3,Opole,no address,Śródmieście
Interesująca propozycja dla inwestora,435000,63.87,2,https://www.otodom.pl/pl/oferta/interesujaca-propozycja-dla-inwestora-ID4vh0k,Opole,ul. Ozimska ,Śródmieście
Świetne mieszkanie po generalnym remoncie,434000,39.93,2,https://www.otodom.pl/pl/oferta/swietne-mieszkanie-po-generalnym-remoncie-ID4vHYv,Opole,ul. Karpacka ,Chabry
"Mieszkanie w Centrum. 4 pok, kuchnia, 2 łazienki, 2 piwnice.",679000,84.89,5,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-4-pok-kuchnia-2-lazienki-2-piwnice-ID4vdrl,Opole,ul. Księdza Jana Dzierżona ,Stare Miasto
"Wyjątkowy dwupoziomowy Apartament , Grudzice !",1150000,125,5,https://www.otodom.pl/pl/oferta/wyjatkowy-dwupoziomowy-apartament-grudzice-ID4r1VX,Opole,ul. Józefa Dobisa ,Grudzice
Mieszkania i domy STRUXI Deweloper Opole,no price,,unknown number of rooms,https://www.otodom.pl/pl/oferta/mieszkania-i-domy-struxi-deweloper-opole-ID4m2YK,Opole,no address,Chmielowice
Duże mieszkanie 152 m2 z podziałem na 2 odrębne lo,1060000,152,6,https://www.otodom.pl/pl/oferta/duze-mieszkanie-152-m2-z-podzialem-na-2-odrebne-lo-ID4vX1O,Opole,no address,Śródmieście
Nowoczesne dwupokojowe mieszkanie z tarasem i garażem – Nowe Przylesie,730000,52,2,https://www.otodom.pl/pl/oferta/nowoczesne-dwupokojowe-mieszkanie-z-tarasem-i-garazem-nowe-przylesie-ID4vVPz,Opole,ul. 10 Sudeckiej Dywizji Zmechanizowanej ,Półwieś
"Niski blok, media miejskie, duży balkon",499000,64,3,https://www.otodom.pl/pl/oferta/niski-blok-media-miejskie-duzy-balkon-ID4vovn,Opole,ul. Rzeszowska ,Malinka
Rodzinne 4 pokoje z balkonem i parkingiem.,669000,75.6,4,https://www.otodom.pl/pl/oferta/rodzinne-4-pokoje-z-balkonem-i-parkingiem-ID4vVDy,Opole,ul. ks. Bolesława Domańskiego ,Zaodrze
Osiedle Arkady,no price,,unknown number of rooms,https://www.otodom.pl/pl/oferta/osiedle-arkady-ID4q1Eu,Opole,Żródlana ,Szczepanowice - Wójtowa Wieś
"Mieszkanie w bloku 73 m2, 4 Pokoje, ZWM",520000,73,4,https://www.otodom.pl/pl/oferta/mieszkanie-w-bloku-73-m2-4-pokoje-zwm-ID4vEa6,Opole,ul. Emila Fieldorfa ,Armii Krajowej
"Niski blok, duży balkon, świetna lokalizacja",429000,59.33,3,https://www.otodom.pl/pl/oferta/niski-blok-duzy-balkon-swietna-lokalizacja-ID4wJ5a,Opole,ul. Stefana Grota-Roweckiego ,Armii Krajowej
"Nowe mieszkania 55m2 z ogródkiem! 2 miejsca postojowe, Osiny k. Opola",467500,55.86,3,https://www.otodom.pl/pl/oferta/nowe-mieszkania-55m2-z-ogrodkiem-2-miejsca-postojowe-osiny-k-opola-ID4vcGQ,Opole,no address,Stare Miasto
Mieszkanie po remoncie w centrum Opola.,569000,58,3,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-w-centrum-opola-ID4v066,Opole,no address,Stare Miasto
Prószkowska - 3 pokojowe mieszkanie z balkonem,429000,52,3,https://www.otodom.pl/pl/oferta/proszkowska-3-pokojowe-mieszkanie-z-balkonem-ID4v06c,Opole,no address,Półwieś
"Mieszkanie, 69,76 m², Opole",895000,69.76,3,https://www.otodom.pl/pl/oferta/mieszkanie-69-76-m-opole-ID4vDWg,Opole,no address,Szczepanowice - Wójtowa Wieś
Bezczynszowy apartament z ogródkiem,797000,66.44,3,https://www.otodom.pl/pl/oferta/bezczynszowy-apartament-z-ogrodkiem-ID4wlpV,Opole,no address,Chmielowice
"Mieszkanie bez pośredników, Opole-Centrum, Kośnego",1100000,105.08,4,https://www.otodom.pl/pl/oferta/mieszkanie-bez-posrednikow-opole-centrum-kosnego-ID4utxf,Opole,no address,Śródmieście
Nowoczesne mieszkanie 48 m2 umeblowane !!,495000,48,2,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-48-m2-umeblowane-ID4vViq,Opole,no address,Stare Miasto
** Sprzedam Nowe Mieszkanie z ogródkiem II ETAP **,399000,45.24,3,https://www.otodom.pl/pl/oferta/sprzedam-nowe-mieszkanie-z-ogrodkiem-ii-etap-ID4wPb0,Opole,no address,Groszowice
2 pokoje z klimtyzacją,326000,33,2,https://www.otodom.pl/pl/oferta/2-pokoje-z-klimtyzacja-ID4vV6V,Opole,ul. Niemodlińska ,Zaodrze
Mieszkanie 58m2 na sprzedaż - spokojna okolica | Opole,478000,58,2,https://www.otodom.pl/pl/oferta/mieszkanie-58m2-na-sprzedaz-spokojna-okolica-opole-ID4vkwH,Opole,ul. Robotnicza ,Śródmieście
"Nowa cena, Śródmieście, Balkon, Media miejskie",415000,43.38,2,https://www.otodom.pl/pl/oferta/nowa-cena-srodmiescie-balkon-media-miejskie-ID4utTU,Opole,ul. 1 Maja ,Śródmieście
Dwupokojowy apartament z ogródkiem.,530000,39,2,https://www.otodom.pl/pl/oferta/dwupokojowy-apartament-z-ogrodkiem-ID4vWV1,Opole,ul. Józefa Barona ,Szczepanowice - Wójtowa Wieś
"Natura Apartamenty, 2 pokoje wejdź i zamieszkaj!",629000,49.25,2,https://www.otodom.pl/pl/oferta/natura-apartamenty-2-pokoje-wejdz-i-zamieszkaj-ID4vkqu,Opole,no address,Szczepanowice - Wójtowa Wieś
48m2 WYSOKI STANDARD Ogrzewanie Miejskie - BALKON,449000,48.41,2,https://www.otodom.pl/pl/oferta/48m2-wysoki-standard-ogrzewanie-miejskie-balkon-ID4wHAO,Opole,no address,Śródmieście
"Widokowe mieszkanie na 11 piętrze - ul.Wrocławska, Opole",350000,31.7,1,https://www.otodom.pl/pl/oferta/widokowe-mieszkanie-na-11-pietrze-ul-wroclawska-opole-ID4vI0l,Opole,ul. Wrocławska ,Półwieś
STOPY w DÓŁ CENY w DÓŁ 100 000 zł RABATU na mieszkanie dwupoziomowe,897000,106.9,5,https://www.otodom.pl/pl/oferta/stopy-w-dol-ceny-w-dol-100-000-zl-rabatu-na-mieszkanie-dwupoziomowe-ID4vo56,Opole,no address,Chmielowice
"Apartament Atlantis - garaż, miejsca postojowe, balkon, komórka",850000,78.83,3,https://www.otodom.pl/pl/oferta/apartament-atlantis-garaz-miejsca-postojowe-balkon-komorka-ID4wOP0,Opole,ul. Górna ,Gosławice
"Na sprzedaż: 2-pokojowe mieszkanie 48 m² – Opole, ul. Dambonia",470000,48,2,https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pokojowe-mieszkanie-48-m-opole-ul-dambonia-ID4vtn2,Opole,ul. Alojzego Dambonia ,Zaodrze
"Nowe Przylesie, mieszkanie dwupokojowe, słoneczne, ciepłe, duży balko",640000,52,2,https://www.otodom.pl/pl/oferta/nowe-przylesie-mieszkanie-dwupokojowe-sloneczne-cieple-duzy-balko-ID4uRAz,Opole,no address,Zaodrze
"3-pokojowe mieszkanie, Imperial Apartamenty",875000,60,3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-imperial-apartamenty-ID4tltk,Opole,ul. Stawowa ,Szczepanowice - Wójtowa Wieś
"3 pokoje z ogródkiem| 64,74 m² | Nova Ozimska | wysoki standard |",870000,64.74,3,https://www.otodom.pl/pl/oferta/3-pokoje-z-ogrodkiem-64-74-m-nova-ozimska-wysoki-standard-ID4vWrU,Opole,ul. Ozimska ,Malinka
"Mieszkanie 3pk, kompletnie umeblowane .",589000,61.9,3,https://www.otodom.pl/pl/oferta/mieszkanie-3pk-kompletnie-umeblowane-ID4v8QQ,Opole,ul. Nowowiejska ,Kolonia Gosławicka
"Kawalerka z sypialnią , Bliskie Zaodrze",289000,31.82,2,https://www.otodom.pl/pl/oferta/kawalerka-z-sypialnia-bliskie-zaodrze-ID4vaYW,Opole,ul. Wrocławska ,Nadodrze
