title,price,area,rooms,url,city,address,district
Mieszkanie 3 pokoje Jakubskie BEZ POŚREDNIKÓW Piwnica,710000,61,3,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-jakubskie-bez-posrednikow-piwnica-ID4vBco,Toruń,no address,Jakubskie Przedmieście
Podgórz 2 Pokoje Do Wprowadzenia!,440000,47.9,2,https://www.otodom.pl/pl/oferta/podgorz-2-pokoje-do-wprowadzenia-ID4t8TE,Toruń,ul. Wilhelminy Iwanowskiej ,Podgórz
"3 Pokoje Jar! Garderoba!Winda, Garaż!!!",825000,65,3,https://www.otodom.pl/pl/oferta/3-pokoje-jar-garderoba-winda-garaz-ID4uSNN,Toruń,ul. Łukasza Watzenrodego ,Wrzosy
3 pokoje ! 1 piętro ! Osiedle Mokre!,519000,47,3,https://www.otodom.pl/pl/oferta/3-pokoje-1-pietro-osiedle-mokre-ID4vNvl,Toruń,no address,Stare Miasto
"Ogrodzone osiedle, parter, duży taras",699000,68.89,3,https://www.otodom.pl/pl/oferta/ogrodzone-osiedle-parter-duzy-taras-ID4tfju,Toruń,ul. Zygmunta Krasińskiego ,Bydgoskie Przedmieście
"Mieszkanie, 46 m², Toruń",329000,46,2,https://www.otodom.pl/pl/oferta/mieszkanie-46-m-torun-ID4vIOm,Toruń,no address,Jakubskie Przedmieście
Mieszkanie w kamienicy przy ul. Mickiewicza,830000,94.4,5,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-przy-ul-mickiewicza-ID4x2ko,Toruń,ul. Adama Mickiewicza ,Bydgoskie Przedmieście
"Mieszkanie Rubinkowo II 36,6m2 z balkonem",315000,36.6,1,https://www.otodom.pl/pl/oferta/mieszkanie-rubinkowo-ii-36-6m2-z-balkonem-ID4vLio,Toruń,ul. Bronisława Jamontta ,Rubinkowo
Nowe mieszkanie w stanie deweloperskim. Lubicka,509000,48.11,2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-stanie-deweloperskim-lubicka-ID4wFqN,Toruń,no address,Rubinkowo
"Jar | Watzenrodego | 2 Pokoje | 51,37m2",590000,51.37,2,https://www.otodom.pl/pl/oferta/jar-watzenrodego-2-pokoje-51-37m2-ID4x2hu,Toruń,no address,Wrzosy
Dobra lokalizacja dwupokojowe,470000,48.5,2,https://www.otodom.pl/pl/oferta/dobra-lokalizacja-dwupokojowe-ID4x2dQ,Toruń,no address,Bydgoskie Przedmieście
Nowe mieszkanie! Jar w sąsiedztwie lasu!,550000,44,2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-jar-w-sasiedztwie-lasu-ID4v7MB,Toruń,ul. Henryka Strobanda ,Wrzosy
"3 rozkładowe pokoje, w świetnej lokalizacji!",429000,49,3,https://www.otodom.pl/pl/oferta/3-rozkladowe-pokoje-w-swietnej-lokalizacji-ID4vxjL,Toruń,ul. Władysława Warneńczyka ,Mokre
"Duże trzy pokojowe mieszkanie, Skarpa!",384000,63,3,https://www.otodom.pl/pl/oferta/duze-trzy-pokojowe-mieszkanie-skarpa-ID4v8Zl,Toruń,ul. Konstytucji 3 Maja ,Na Skarpie
"Gotowiec inwestycyjny, 2 pokoje, balkon, parter!",550000,46.9,2,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-2-pokoje-balkon-parter-ID4wzXh,Toruń,Cztery Pory Roku ,Stawki
"Jar, 2 pokoje, idealne pod inwestycję!",385000,37.44,2,https://www.otodom.pl/pl/oferta/jar-2-pokoje-idealne-pod-inwestycje-ID4vaVL,Toruń,ul. Henryka Strobanda ,Wrzosy
"Jar, komfortowy 3 pokojowy apartament",699000,63,3,https://www.otodom.pl/pl/oferta/jar-komfortowy-3-pokojowy-apartament-ID4vdFG,Toruń,ul. Henryka Strobanda ,Wrzosy
"2 pokoje, cegła, św. Józefa, Universitas",415000,43.8,2,https://www.otodom.pl/pl/oferta/2-pokoje-cegla-sw-jozefa-universitas-ID4x2cn,Toruń,ul. św. Józefa ,Bielany
"Bezpośrednio! Mieszkanie 47m, 2 pokoje, klimatyzacja, balkon, piwnica",420000,47,2,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-47m-2-pokoje-klimatyzacja-balkon-piwnica-ID4vPVI,Toruń,ul. Strzałowa ,Rudak
Mieszkanie 80 m2 przy starym mieście - 4 pokoje,970000,79.5,4,https://www.otodom.pl/pl/oferta/mieszkanie-80-m2-przy-starym-miescie-4-pokoje-ID4x2bE,Toruń,ul. Podchorążych ,Jakubskie Przedmieście
"Okazyna Cena 2 Pokoi Po Remoncie , Parter",425000,48.26,2,https://www.otodom.pl/pl/oferta/okazyna-cena-2-pokoi-po-remoncie-parter-ID4tuDi,Toruń,no address,Podgórz
"Idealne na start lub inwestycję, 2 pokoje, Rybaki, Toruń",630000,47.68,2,https://www.otodom.pl/pl/oferta/idealne-na-start-lub-inwestycje-2-pokoje-rybaki-torun-ID4ve69,Toruń,ul. Rybaki ,Rybaki
Nowoczesne mieszkanie 3 pokojowe z tarasem,659000,58.66,3,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-3-pokojowe-z-tarasem-ID4x25S,Toruń,ul. Sadowa ,Wrzosy
"Mieszkanie, 95,81 m², Toruń",1299000,95.81,5,https://www.otodom.pl/pl/oferta/mieszkanie-95-81-m-torun-ID4x22Q,Toruń,no address,Stare Miasto
